from,to,status,note
"/single-post/2017/06/22/more-than-machines-1","/upcoming-events","301","Old Wix blog post. Keep only if rebuilding individual posts; otherwise redirect to the events and updates archive."
"/single-post/2017/11/06/end-of-the-world-show-at-jailhouse-studios","/upcoming-events","301","Old Wix blog post. Keep only if rebuilding individual posts; otherwise redirect to the events and updates archive."
"/single-post/2017/10/24/pacific-nw-tattoo-expo","/upcoming-events","301","Old Wix blog post. Keep only if rebuilding individual posts; otherwise redirect to the events and updates archive."
"/single-post/new-hours-other-changes","/upcoming-events","301","Old Wix blog post. Keep only if rebuilding individual posts; otherwise redirect to the events and updates archive."
"/single-post/2018/03/15/skin-deep","/upcoming-events","301","Old Wix blog post. Keep only if rebuilding individual posts; otherwise redirect to the events and updates archive."
"/single-post/2018/10/05/more-fun-with-tattoos-in-casinos","/upcoming-events","301","Old Wix blog post. Keep only if rebuilding individual posts; otherwise redirect to the events and updates archive."
"/single-post/2019/02/28/portland-tattoo-expo","/upcoming-events","301","Old Wix blog post. Keep only if rebuilding individual posts; otherwise redirect to the events and updates archive."
"/single-post/my-schedule-is-changing","/upcoming-events","301","Old Wix blog post. Keep only if rebuilding individual posts; otherwise redirect to the events and updates archive."
"/single-post/spring-update-and-books-are-open","/upcoming-events","301","Old Wix blog post. Keep only if rebuilding individual posts; otherwise redirect to the events and updates archive."
"/single-post/super-late-to-update","/upcoming-events","301","Old Wix blog post. Keep only if rebuilding individual posts; otherwise redirect to the events and updates archive."
"/single-post/2018/10/05/halloweenie","/upcoming-events","301","Old Wix blog post. Keep only if rebuilding individual posts; otherwise redirect to the events and updates archive."
"/single-post/2017/06/22/more-than-machines-a-group-art-show","/upcoming-events","301","Old Wix blog post. Keep only if rebuilding individual posts; otherwise redirect to the events and updates archive."
"/single-post/2017/06/15/tacoma-tatau-festival","/upcoming-events","301","Old Wix blog post. Keep only if rebuilding individual posts; otherwise redirect to the events and updates archive."
"/single-post/2019/02/15/new-stickers","/upcoming-events","301","Old Wix blog post. Keep only if rebuilding individual posts; otherwise redirect to the events and updates archive."
"/single-post/now-booking-through-december-2022","/upcoming-events","301","Old Wix blog post. Keep only if rebuilding individual posts; otherwise redirect to the events and updates archive."
"/single-post/2018/03/22/oregon-tattoo-expo","/upcoming-events","301","Old Wix blog post. Keep only if rebuilding individual posts; otherwise redirect to the events and updates archive."
"/single-post/2018/03/22/iron-circus-tattoo-expo","/upcoming-events","301","Old Wix blog post. Keep only if rebuilding individual posts; otherwise redirect to the events and updates archive."
"/oldshop","/shop","301","Retired Wix utility/promotional page mapped to the closest replacement."
"/covid-19-questionnaire","/booking","301","Retired Wix utility/promotional page mapped to the closest replacement."
"/updates","/upcoming-events","301","Retired Wix utility/promotional page mapped to the closest replacement."
"/forms","/booking","301","Retired Wix utility/promotional page mapped to the closest replacement."
"/book-a-consultation","/booking","301","Retired Wix utility/promotional page mapped to the closest replacement."
"/raffle","/","301","Retired Wix utility/promotional page mapped to the closest replacement."
"/winter-raffle","/","301","Retired Wix utility/promotional page mapped to the closest replacement."
"/illustration","/paintings","301","Retired Wix utility/promotional page mapped to the closest replacement."
"/book-a-coverup-tattoo","/cover-ups","301","Retired Wix utility/promotional page mapped to the closest replacement."
"/tattoo-release-form","/booking","301","Retired Wix utility/promotional page mapped to the closest replacement."
