type,path,lastmod,title,description,canonical,ogImage
"blog","/single-post/2017/06/22/more-than-machines-1","2017-06-03","More Than Machines","First Friday, December 1st 2017 will be the opening reception for the last show of the year at Jailhouse Studios. This show will be special to me because it is","https://www.agneshamilton.com/single-post/2017/06/22/more-than-machines-1","https://static.wixstatic.com/media/41554d_52523d5f8e434c489339670dec6c1122~mv2_d_1936_1936_s_2.jpg/v1/fill/w_1000,h_1000,al_c,q_85,usm_0.66_1.00_0.01/41554d_52523d5f8e434c489339670dec6c1122~mv2_d_1936_1936_s_2.jpg"
"blog","/single-post/2017/11/06/end-of-the-world-show-at-jailhouse-studios","2017-11-07","End of the World Show at Jailhouse Studios","First Friday, December 1st 2017 will be the opening reception for the last show of the year at Jailhouse Studios. This show will be special to me because it is","https://www.agneshamilton.com/single-post/2017/11/06/end-of-the-world-show-at-jailhouse-studios","https://static.wixstatic.com/media/41554d_8f054e167f084fbb8560424cd13dec60~mv2.jpg/v1/fill/w_735,h_420,al_c,lg_1,q_80/41554d_8f054e167f084fbb8560424cd13dec60~mv2.jpg"
"blog","/single-post/2017/10/24/pacific-nw-tattoo-expo","2017-10-25","Pacific NW Tattoo Expo","First Friday, December 1st 2017 will be the opening reception for the last show of the year at Jailhouse Studios. This show will be special to me because it is","https://www.agneshamilton.com/single-post/2017/10/24/pacific-nw-tattoo-expo","https://static.wixstatic.com/media/41554d_b450080666264bd2a13c894f828cec6d~mv2.png/v1/fill/w_649,h_648,al_c,lg_1,q_90/41554d_b450080666264bd2a13c894f828cec6d~mv2.png"
"blog","/single-post/new-hours-other-changes","2023-04-07","New hours & other changes...","First Friday, December 1st 2017 will be the opening reception for the last show of the year at Jailhouse Studios. This show will be special to me because it is","https://www.agneshamilton.com/single-post/new-hours-other-changes","https://static.wixstatic.com/media/41554d_14a8d227c6ab4d32acf52d95dd24817d~mv2.jpg/v1/fill/w_1000,h_935,al_c,q_85,usm_0.66_1.00_0.01/41554d_14a8d227c6ab4d32acf52d95dd24817d~mv2.jpg"
"blog","/single-post/2018/03/15/skin-deep","2018-03-15","Skin Deep","First Friday, December 1st 2017 will be the opening reception for the last show of the year at Jailhouse Studios. This show will be special to me because it is","https://www.agneshamilton.com/single-post/2018/03/15/skin-deep","https://static.wixstatic.com/media/41554d_3469254d491a4212b67bd3d1f1419807~mv2_d_2160_2700_s_2.jpg/v1/fill/w_800,h_1000,al_c,q_85,usm_0.66_1.00_0.01/41554d_3469254d491a4212b67bd3d1f1419807~mv2_d_2160_2700_s_2.jpg"
"blog","/single-post/2018/10/05/more-fun-with-tattoos-in-casinos","2018-10-05","More fun with tattoos in casinos...","Im very excited to announce that this will be my second year attending the PNW Tattoo Expo at Spirit Mountain Casino alongside my friends Nate Luna and Simon T","https://www.agneshamilton.com/single-post/2018/10/05/more-fun-with-tattoos-in-casinos","https://static.wixstatic.com/media/41554d_e1a631ae48d04d8e8bdb501a312449e3~mv2_d_1936_1936_s_2.jpg/v1/fill/w_1000,h_1000,al_c,q_85,usm_0.66_1.00_0.01/41554d_e1a631ae48d04d8e8bdb501a312449e3~mv2_d_1936_1936_s_2.jpg"
"blog","/single-post/2019/02/28/portland-tattoo-expo","2019-02-28","Portland Tattoo Expo!","First Friday, December 1st 2017 will be the opening reception for the last show of the year at Jailhouse Studios. This show will be special to me because it is","https://www.agneshamilton.com/single-post/2019/02/28/portland-tattoo-expo","https://static.wixstatic.com/media/41554d_1305edeee68f4c8b8a92e8635176ecbe~mv2_d_1936_1936_s_2.jpg/v1/fill/w_1000,h_1000,al_c,q_85,usm_0.66_1.00_0.01/41554d_1305edeee68f4c8b8a92e8635176ecbe~mv2_d_1936_1936_s_2.jpg"
"blog","/single-post/my-schedule-is-changing","2020-12-14","","","",""
"blog","/single-post/spring-update-and-books-are-open","2022-03-14","Spring Update and Books are OPEN!","First Friday, December 1st 2017 will be the opening reception for the last show of the year at Jailhouse Studios. This show will be special to me because it is","https://www.agneshamilton.com/single-post/spring-update-and-books-are-open",""
"blog","/single-post/super-late-to-update","2021-10-21","Super Late to Update!","First Friday, December 1st 2017 will be the opening reception for the last show of the year at Jailhouse Studios. This show will be special to me because it is","https://www.agneshamilton.com/single-post/super-late-to-update","https://static.wixstatic.com/media/41554d_5ab9d5f7a910411593791185fe6e9213~mv2.jpg/v1/fill/w_841,h_1000,al_c,q_85,usm_0.66_1.00_0.01/41554d_5ab9d5f7a910411593791185fe6e9213~mv2.jpg"
"blog","/single-post/2018/10/05/halloweenie","2018-10-05","HALLO-WEENIE","First Friday, December 1st 2017 will be the opening reception for the last show of the year at Jailhouse Studios. This show will be special to me because it is","https://www.agneshamilton.com/single-post/2018/10/05/halloweenie","https://static.wixstatic.com/media/41554d_c18b0bd8bf0c411bba4913f7535ab623~mv2.jpg/v1/fill/w_1000,h_995,al_c,q_85,usm_0.66_1.00_0.01/41554d_c18b0bd8bf0c411bba4913f7535ab623~mv2.jpg"
"blog","/single-post/2017/06/22/more-than-machines-a-group-art-show","2017-05-31","More Than Machines: A Group Art Show","First Friday, December 1st 2017 will be the opening reception for the last show of the year at Jailhouse Studios. This show will be special to me because it is","https://www.agneshamilton.com/single-post/2017/06/22/more-than-machines-a-group-art-show","https://static.wixstatic.com/media/41554d_e2ee4ffd995e466ebab9a2020bf607ec~mv2_d_1275_1650_s_2.jpg/v1/fill/w_773,h_1000,al_c,q_85,usm_0.66_1.00_0.01/41554d_e2ee4ffd995e466ebab9a2020bf607ec~mv2_d_1275_1650_s_2.jpg"
"blog","/single-post/2017/06/15/tacoma-tatau-festival","2017-06-15","Tacoma Tatau Festival","First Friday, December 1st 2017 will be the opening reception for the last show of the year at Jailhouse Studios. This show will be special to me because it is","https://www.agneshamilton.com/single-post/2017/06/15/tacoma-tatau-festival","https://static.wixstatic.com/media/41554d_fa82d20ecbb949ed9e4cb05e5e9fee21~mv2_d_1936_1936_s_2.jpg/v1/fill/w_1000,h_1000,al_c,q_85,usm_0.66_1.00_0.01/41554d_fa82d20ecbb949ed9e4cb05e5e9fee21~mv2_d_1936_1936_s_2.jpg"
"blog","/single-post/2019/02/15/new-stickers","2019-02-15","New Stickers!","First Friday, December 1st 2017 will be the opening reception for the last show of the year at Jailhouse Studios. This show will be special to me because it is","https://www.agneshamilton.com/single-post/2019/02/15/new-stickers","https://static.wixstatic.com/media/41554d_657b00a63f34425298eefc7c7e225e57~mv2.jpg/v1/fill/w_691,h_691,al_c,lg_1,q_85/41554d_657b00a63f34425298eefc7c7e225e57~mv2.jpg"
"blog","/single-post/now-booking-through-december-2022","2022-08-29","Now Booking Through December 2022","First Friday, December 1st 2017 will be the opening reception for the last show of the year at Jailhouse Studios. This show will be special to me because it is","https://www.agneshamilton.com/single-post/now-booking-through-december-2022",""
"blog","/single-post/2018/03/22/oregon-tattoo-expo","2018-03-22","Oregon Tattoo Expo","First Friday, December 1st 2017 will be the opening reception for the last show of the year at Jailhouse Studios. This show will be special to me because it is","https://www.agneshamilton.com/single-post/2018/03/22/oregon-tattoo-expo","https://static.wixstatic.com/media/41554d_08ad0dec12b64515a0919f0c5e438f88~mv2.jpg/v1/fill/w_960,h_804,al_c,q_85/41554d_08ad0dec12b64515a0919f0c5e438f88~mv2.jpg"
"blog","/single-post/2018/03/22/iron-circus-tattoo-expo","2018-03-22","Iron Circus Tattoo Expo","First Friday, December 1st 2017 will be the opening reception for the last show of the year at Jailhouse Studios. This show will be special to me because it is","https://www.agneshamilton.com/single-post/2018/03/22/iron-circus-tattoo-expo","https://static.wixstatic.com/media/41554d_dcd7195a20d34c41ad5098dc82186e98~mv2.jpeg/v1/fill/w_750,h_748,al_c,q_85/41554d_dcd7195a20d34c41ad5098dc82186e98~mv2.jpeg"
"page","/paintings","2026-05-22","Paintings | Agnes Hamilton Tattoos & Fine Art | United States","Previously commissioned art by Agnes Hamilton. Contact Agnes for your own custom painting or project!","https://www.agneshamilton.com/paintings","https://static.wixstatic.com/media/41554d_5d09bbaab191498ea369af5d36e3b328%7Emv2.jpg/v1/fit/w_2500,h_1330,al_c/41554d_5d09bbaab191498ea369af5d36e3b328%7Emv2.jpg"
"page","/oldshop","2026-05-22","old SHOP | agneshamilton","","https://www.agneshamilton.com/oldshop","https://static.wixstatic.com/media/41554d_5d09bbaab191498ea369af5d36e3b328%7Emv2.jpg/v1/fit/w_2500,h_1330,al_c/41554d_5d09bbaab191498ea369af5d36e3b328%7Emv2.jpg"
"page","/about","2026-05-22","About | Oregon | Agnes Hamilton Tattoos & Fine Art","Find out more about Portland female tattoo artist Agnes Hamilton","https://www.agneshamilton.com/about","https://static.wixstatic.com/media/41554d_5d09bbaab191498ea369af5d36e3b328%7Emv2.jpg/v1/fit/w_2500,h_1330,al_c/41554d_5d09bbaab191498ea369af5d36e3b328%7Emv2.jpg"
"page","/booking","2026-05-22","Booking | Oregon | Agnes Hamilton Tattoos & Fine Art","Book your next tattoo with Agnes Hamilton in beautiful Portland, Oregon","https://www.agneshamilton.com/booking","https://static.wixstatic.com/media/41554d_5d09bbaab191498ea369af5d36e3b328%7Emv2.jpg/v1/fit/w_2500,h_1330,al_c/41554d_5d09bbaab191498ea369af5d36e3b328%7Emv2.jpg"
"page","/covid-19-questionnaire","2026-05-22","COVID-19 QUESTIONNAIRE | agneshamilton","","https://www.agneshamilton.com/covid-19-questionnaire","https://static.wixstatic.com/media/41554d_5d09bbaab191498ea369af5d36e3b328%7Emv2.jpg/v1/fit/w_2500,h_1330,al_c/41554d_5d09bbaab191498ea369af5d36e3b328%7Emv2.jpg"
"page","/updates","2026-05-22","Updates | Agnes Hamilton Tattoos & Fine Art | United States","Stay updated on all thats happening, promotions, raffles, etc","https://www.agneshamilton.com/updates","https://static.wixstatic.com/media/41554d_5d09bbaab191498ea369af5d36e3b328%7Emv2.jpg/v1/fit/w_2500,h_1330,al_c/41554d_5d09bbaab191498ea369af5d36e3b328%7Emv2.jpg"
"page","/upcoming-events","2026-05-22","UPCOMING EVENTS | agneshamilton","Learn more about upcoming tattoo events with Agnes Hamilton!","https://www.agneshamilton.com/upcoming-events","https://static.wixstatic.com/media/41554d_5d09bbaab191498ea369af5d36e3b328%7Emv2.jpg/v1/fit/w_2500,h_1330,al_c/41554d_5d09bbaab191498ea369af5d36e3b328%7Emv2.jpg"
"page","/forms","2026-05-22","FORMS | agneshamilton","","https://www.agneshamilton.com/forms","https://static.wixstatic.com/media/41554d_5d09bbaab191498ea369af5d36e3b328%7Emv2.jpg/v1/fit/w_2500,h_1330,al_c/41554d_5d09bbaab191498ea369af5d36e3b328%7Emv2.jpg"
"page","/book-a-consultation","2026-05-22","Booking | Oregon | Agnes Hamilton Tattoos & Fine Art","Book your next tattoo with Agnes Hamilton in beautiful Portland, Oregon","https://www.agneshamilton.com/book-a-consultation","https://static.wixstatic.com/media/41554d_5d09bbaab191498ea369af5d36e3b328%7Emv2.jpg/v1/fit/w_2500,h_1330,al_c/41554d_5d09bbaab191498ea369af5d36e3b328%7Emv2.jpg"
"page","/raffle","2026-05-22","HALLOWEEN RAFFLE  | agneshamilton","","https://www.agneshamilton.com/raffle","https://static.wixstatic.com/media/41554d_5d09bbaab191498ea369af5d36e3b328%7Emv2.jpg/v1/fit/w_2500,h_1330,al_c/41554d_5d09bbaab191498ea369af5d36e3b328%7Emv2.jpg"
"page","/winter-raffle","2026-05-22","WINTER HOLIDAY RAFFLE  | agneshamilton","","https://www.agneshamilton.com/winter-raffle","https://static.wixstatic.com/media/41554d_5d09bbaab191498ea369af5d36e3b328%7Emv2.jpg/v1/fit/w_2500,h_1330,al_c/41554d_5d09bbaab191498ea369af5d36e3b328%7Emv2.jpg"
"page","/illustration","2026-05-22","ILLUSTRATION | agneshamilton","","https://www.agneshamilton.com/illustration","https://static.wixstatic.com/media/41554d_5d09bbaab191498ea369af5d36e3b328%7Emv2.jpg/v1/fit/w_2500,h_1330,al_c/41554d_5d09bbaab191498ea369af5d36e3b328%7Emv2.jpg"
"page","/book-a-coverup-tattoo","2026-05-22","Booking | Oregon | Agnes Hamilton Tattoos & Fine Art","Book your next tattoo with Agnes Hamilton in beautiful Portland, Oregon","https://www.agneshamilton.com/book-a-coverup-tattoo","https://static.wixstatic.com/media/41554d_5d09bbaab191498ea369af5d36e3b328%7Emv2.jpg/v1/fit/w_2500,h_1330,al_c/41554d_5d09bbaab191498ea369af5d36e3b328%7Emv2.jpg"
"page","/cover-ups","2026-05-22","Cover-up Tattoos | Oregon | Agnes Hamilton Tattoos & Fine Art","Let Agnes Hamilton  transform your old tattoo into something new and beautiful!","https://www.agneshamilton.com/cover-ups","https://static.wixstatic.com/media/41554d_5d09bbaab191498ea369af5d36e3b328%7Emv2.jpg/v1/fit/w_2500,h_1330,al_c/41554d_5d09bbaab191498ea369af5d36e3b328%7Emv2.jpg"
"page","/","2026-05-22","Tattoo Shop | United States | Agnes Hamilton Tattoos & Fine Art","Bright, bold custom tattoos by female tattoo artist Agnes Hamilton, based in Portland Oregon.","https://www.agneshamilton.com","https://static.wixstatic.com/media/41554d_5d09bbaab191498ea369af5d36e3b328%7Emv2.jpg/v1/fit/w_2500,h_1330,al_c/41554d_5d09bbaab191498ea369af5d36e3b328%7Emv2.jpg"
"page","/tattoos","2026-05-22","Tattoo Shop | United States | Agnes Hamilton Tattoos & Fine Art","Bright, bold custom tattoos by female tattoo artist Agnes Hamilton, based in Portland Oregon.","https://www.agneshamilton.com/tattoos","https://static.wixstatic.com/media/41554d_5d09bbaab191498ea369af5d36e3b328%7Emv2.jpg/v1/fit/w_2500,h_1330,al_c/41554d_5d09bbaab191498ea369af5d36e3b328%7Emv2.jpg"
